產品編號,訂單編號,訂單行號,成本,銷售額,稅額,運費,訂單日期,出貨日期
310,SO43697,1,2171.2942,3578.27,286.2616,89.4568,2005-07-01,2005-07-08
346,SO43698,1,1912.1544,3399.99,271.9992,84.9998,2005-07-01,2005-07-08
346,SO43699,1,1912.1544,3399.99,271.9992,84.9998,2005-07-01,2005-07-08
336,SO43700,1,413.1463,699.0982,55.9279,17.4775,2005-07-01,2005-07-08
346,SO43701,1,1912.1544,3399.99,271.9992,84.9998,2005-07-01,2005-07-08
311,SO43702,1,2171.2942,3578.27,286.2616,89.4568,2005-07-02,2005-07-09
310,SO43703,1,2171.2942,3578.27,286.2616,89.4568,2005-07-02,2005-07-09
351,SO43704,1,1898.0944,3374.99,269.9992,84.3748,2005-07-02,2005-07-09
344,SO43705,1,1912.1544,3399.99,271.9992,84.9998,2005-07-02,2005-07-09
312,SO43706,1,2171.2942,3578.27,286.2616,89.4568,2005-07-03,2005-07-10
312,SO43707,1,2171.2942,3578.27,286.2616,89.4568,2005-07-03,2005-07-10
330,SO43708,1,413.1463,699.0982,55.9279,17.4775,2005-07-03,2005-07-10
313,SO43709,1,2171.2942,3578.27,286.2616,89.4568,2005-07-03,2005-07-10
314,SO43710,1,2171.2942,3578.27,286.2616,89.4568,2005-07-03,2005-07-10
314,SO43711,1,2171.2942,3578.27,286.2616,89.4568,2005-07-04,2005-07-11
311,SO43712,1,2171.2942,3578.27,286.2616,89.4568,2005-07-04,2005-07-11
310,SO43713,1,2171.2942,3578.27,286.2616,89.4568,2005-07-05,2005-07-12
311,SO43714,1,2171.2942,3578.27,286.2616,89.4568,2005-07-05,2005-07-12
314,SO43715,1,2171.2942,3578.27,286.2616,89.4568,2005-07-05,2005-07-12
311,SO43716,1,2171.2942,3578.27,286.2616,89.4568,2005-07-05,2005-07-12
336,SO43717,1,413.1463,699.0982,55.9279,17.4775,2005-07-05,2005-07-12
311,SO43718,1,2171.2942,3578.27,286.2616,89.4568,2005-07-06,2005-07-13
312,SO43719,1,2171.2942,3578.27,286.2616,89.4568,2005-07-06,2005-07-13
311,SO43720,1,2171.2942,3578.27,286.2616,89.4568,2005-07-06,2005-07-13
310,SO43721,1,2171.2942,3578.27,286.2616,89.4568,2005-07-06,2005-07-13
312,SO43722,1,2171.2942,3578.27,286.2616,89.4568,2005-07-07,2005-07-14
332,SO43723,1,413.1463,699.0982,55.9279,17.4775,2005-07-07,2005-07-14
311,SO43724,1,2171.2942,3578.27,286.2616,89.4568,2005-07-07,2005-07-14
311,SO43725,1,2171.2942,3578.27,286.2616,89.4568,2005-07-08,2005-07-15
332,SO43726,1,413.1463,699.0982,55.9279,17.4775,2005-07-08,2005-07-15
311,SO43727,1,2171.2942,3578.27,286.2616,89.4568,2005-07-08,2005-07-15
313,SO43728,1,2171.2942,3578.27,286.2616,89.4568,2005-07-09,2005-07-16
346,SO43729,1,1912.1544,3399.99,271.9992,84.9998,2005-07-09,2005-07-16
346,SO43730,1,1912.1544,3399.99,271.9992,84.9998,2005-07-09,2005-07-16
314,SO43731,1,2171.2942,3578.27,286.2616,89.4568,2005-07-09,2005-07-16
350,SO43732,1,1898.0944,3374.99,269.9992,84.3748,2005-07-09,2005-07-16
312,SO43733,1,2171.2942,3578.27,286.2616,89.4568,2005-07-09,2005-07-16
312,SO43734,1,2171.2942,3578.27,286.2616,89.4568,2005-07-10,2005-07-17
310,SO43735,1,2171.2942,3578.27,286.2616,89.4568,2005-07-10,2005-07-17
346,SO43736,1,1912.1544,3399.99,271.9992,84.9998,2005-07-10,2005-07-17
311,SO43737,1,2171.2942,3578.27,286.2616,89.4568,2005-07-11,2005-07-18
312,SO43738,1,2171.2942,3578.27,286.2616,89.4568,2005-07-11,2005-07-18
310,SO43739,1,2171.2942,3578.27,286.2616,89.4568,2005-07-11,2005-07-18
312,SO43740,1,2171.2942,3578.27,286.2616,89.4568,2005-07-11,2005-07-18
310,SO43741,1,2171.2942,3578.27,286.2616,89.4568,2005-07-12,2005-07-19
314,SO43742,1,2171.2942,3578.27,286.2616,89.4568,2005-07-12,2005-07-19
347,SO43743,1,1912.1544,3399.99,271.9992,84.9998,2005-07-12,2005-07-19
313,SO43744,1,2171.2942,3578.27,286.2616,89.4568,2005-07-12,2005-07-19
311,SO43745,1,2171.2942,3578.27,286.2616,89.4568,2005-07-13,2005-07-20
312,SO43746,1,2171.2942,3578.27,286.2616,89.4568,2005-07-13,2005-07-20
314,SO43747,1,2171.2942,3578.27,286.2616,89.4568,2005-07-14,2005-07-21
313,SO43748,1,2171.2942,3578.27,286.2616,89.4568,2005-07-14,2005-07-21
314,SO43749,1,2171.2942,3578.27,286.2616,89.4568,2005-07-14,2005-07-21
311,SO43750,1,2171.2942,3578.27,286.2616,89.4568,2005-07-14,2005-07-21
313,SO43751,1,2171.2942,3578.27,286.2616,89.4568,2005-07-14,2005-07-21
311,SO43752,1,2171.2942,3578.27,286.2616,89.4568,2005-07-14,2005-07-21
310,SO43753,1,2171.2942,3578.27,286.2616,89.4568,2005-07-14,2005-07-21
312,SO43754,1,2171.2942,3578.27,286.2616,89.4568,2005-07-15,2005-07-22
311,SO43755,1,2171.2942,3578.27,286.2616,89.4568,2005-07-15,2005-07-22
332,SO43756,1,413.1463,699.0982,55.9279,17.4775,2005-07-15,2005-07-22
350,SO43757,1,1898.0944,3374.99,269.9992,84.3748,2005-07-15,2005-07-22
310,SO43758,1,2171.2942,3578.27,286.2616,89.4568,2005-07-16,2005-07-23
310,SO43759,1,2171.2942,3578.27,286.2616,89.4568,2005-07-16,2005-07-23
314,SO43760,1,2171.2942,3578.27,286.2616,89.4568,2005-07-16,2005-07-23
310,SO43761,1,2171.2942,3578.27,286.2616,89.4568,2005-07-16,2005-07-23
314,SO43762,1,2171.2942,3578.27,286.2616,89.4568,2005-07-17,2005-07-24
313,SO43763,1,2171.2942,3578.27,286.2616,89.4568,2005-07-17,2005-07-24
310,SO43764,1,2171.2942,3578.27,286.2616,89.4568,2005-07-17,2005-07-24
346,SO43765,1,1912.1544,3399.99,271.9992,84.9998,2005-07-17,2005-07-24
313,SO43766,1,2171.2942,3578.27,286.2616,89.4568,2005-07-18,2005-07-25
350,SO43767,1,1898.0944,3374.99,269.9992,84.3748,2005-07-18,2005-07-25
312,SO43768,1,2171.2942,3578.27,286.2616,89.4568,2005-07-19,2005-07-26
312,SO43769,1,2171.2942,3578.27,286.2616,89.4568,2005-07-19,2005-07-26
312,SO43770,1,2171.2942,3578.27,286.2616,89.4568,2005-07-19,2005-07-26
330,SO43771,1,413.1463,699.0982,55.9279,17.4775,2005-07-19,2005-07-26
312,SO43772,1,2171.2942,3578.27,286.2616,89.4568,2005-07-19,2005-07-26
314,SO43773,1,2171.2942,3578.27,286.2616,89.4568,2005-07-19,2005-07-26
313,SO43774,1,2171.2942,3578.27,286.2616,89.4568,2005-07-19,2005-07-26
347,SO43775,1,1912.1544,3399.99,271.9992,84.9998,2005-07-19,2005-07-26
314,SO43776,1,2171.2942,3578.27,286.2616,89.4568,2005-07-20,2005-07-27
311,SO43777,1,2171.2942,3578.27,286.2616,89.4568,2005-07-20,2005-07-27
345,SO43778,1,1912.1544,3399.99,271.9992,84.9998,2005-07-20,2005-07-27
326,SO43779,1,413.1463,699.0982,55.9279,17.4775,2005-07-20,2005-07-27
311,SO43780,1,2171.2942,3578.27,286.2616,89.4568,2005-07-21,2005-07-28
312,SO43781,1,2171.2942,3578.27,286.2616,89.4568,2005-07-21,2005-07-28
312,SO43782,1,2171.2942,3578.27,286.2616,89.4568,2005-07-21,2005-07-28
312,SO43783,1,2171.2942,3578.27,286.2616,89.4568,2005-07-21,2005-07-28
310,SO43784,1,2171.2942,3578.27,286.2616,89.4568,2005-07-22,2005-07-29
311,SO43785,1,2171.2942,3578.27,286.2616,89.4568,2005-07-22,2005-07-29
311,SO43786,1,2171.2942,3578.27,286.2616,89.4568,2005-07-22,2005-07-29
344,SO43787,1,1912.1544,3399.99,271.9992,84.9998,2005-07-22,2005-07-29
351,SO43788,1,1898.0944,3374.99,269.9992,84.3748,2005-07-22,2005-07-29
351,SO43789,1,1898.0944,3374.99,269.9992,84.3748,2005-07-22,2005-07-29
344,SO43790,1,1912.1544,3399.99,271.9992,84.9998,2005-07-22,2005-07-29
314,SO43791,1,2171.2942,3578.27,286.2616,89.4568,2005-07-22,2005-07-29
312,SO43792,1,2171.2942,3578.27,286.2616,89.4568,2005-07-22,2005-07-29
344,SO43793,1,1912.1544,3399.99,271.9992,84.9998,2005-07-22,2005-07-29
347,SO43794,1,1912.1544,3399.99,271.9992,84.9998,2005-07-22,2005-07-29
312,SO43795,1,2171.2942,3578.27,286.2616,89.4568,2005-07-23,2005-07-30
342,SO43796,1,413.1463,699.0982,55.9279,17.4775,2005-07-23,2005-07-30
312,SO43797,1,2171.2942,3578.27,286.2616,89.4568,2005-07-23,2005-07-30
310,SO43798,1,2171.2942,3578.27,286.2616,89.4568,2005-07-23,2005-07-30
312,SO43799,1,2171.2942,3578.27,286.2616,89.4568,2005-07-23,2005-07-30
311,SO43800,1,2171.2942,3578.27,286.2616,89.4568,2005-07-24,2005-07-31
311,SO43801,1,2171.2942,3578.27,286.2616,89.4568,2005-07-24,2005-07-31
312,SO43802,1,2171.2942,3578.27,286.2616,89.4568,2005-07-24,2005-07-31
314,SO43803,1,2171.2942,3578.27,286.2616,89.4568,2005-07-25,2005-08-01
310,SO43804,1,2171.2942,3578.27,286.2616,89.4568,2005-07-25,2005-08-01
328,SO43805,1,413.1463,699.0982,55.9279,17.4775,2005-07-25,2005-08-01
312,SO43806,1,2171.2942,3578.27,286.2616,89.4568,2005-07-25,2005-08-01
312,SO43807,1,2171.2942,3578.27,286.2616,89.4568,2005-07-26,2005-08-02
313,SO43808,1,2171.2942,3578.27,286.2616,89.4568,2005-07-26,2005-08-02
310,SO43809,1,2171.2942,3578.27,286.2616,89.4568,2005-07-26,2005-08-02
345,SO43810,1,1912.1544,3399.99,271.9992,84.9998,2005-07-26,2005-08-02
346,SO43811,1,1912.1544,3399.99,271.9992,84.9998,2005-07-26,2005-08-02
312,SO43812,1,2171.2942,3578.27,286.2616,89.4568,2005-07-27,2005-08-03
350,SO43813,1,1898.0944,3374.99,269.9992,84.3748,2005-07-27,2005-08-03
350,SO43814,1,1898.0944,3374.99,269.9992,84.3748,2005-07-27,2005-08-03
311,SO43815,1,2171.2942,3578.27,286.2616,89.4568,2005-07-27,2005-08-03
314,SO43816,1,2171.2942,3578.27,286.2616,89.4568,2005-07-27,2005-08-03
310,SO43817,1,2171.2942,3578.27,286.2616,89.4568,2005-07-27,2005-08-03
312,SO43818,1,2171.2942,3578.27,286.2616,89.4568,2005-07-27,2005-08-03
346,SO43819,1,1912.1544,3399.99,271.9992,84.9998,2005-07-27,2005-08-03
312,SO43820,1,2171.2942,3578.27,286.2616,89.4568,2005-07-28,2005-08-04
310,SO43821,1,2171.2942,3578.27,286.2616,89.4568,2005-07-28,2005-08-04
313,SO43822,1,2171.2942,3578.27,286.2616,89.4568,2005-07-28,2005-08-04
342,SO43823,1,413.1463,699.0982,55.9279,17.4775,2005-07-28,2005-08-04
338,SO43824,1,413.1463,699.0982,55.9279,17.4775,2005-07-28,2005-08-04
313,SO43825,1,2171.2942,3578.27,286.2616,89.4568,2005-07-28,2005-08-04
348,SO43826,1,1898.0944,3374.99,269.9992,84.3748,2005-07-28,2005-08-04
338,SO43827,1,413.1463,699.0982,55.9279,17.4775,2005-07-28,2005-08-04
310,SO43828,1,2171.2942,3578.27,286.2616,89.4568,2005-07-29,2005-08-05
310,SO43829,1,2171.2942,3578.27,286.2616,89.4568,2005-07-29,2005-08-05
311,SO43830,1,2171.2942,3578.27,286.2616,89.4568,2005-07-29,2005-08-05
349,SO43831,1,1898.0944,3374.99,269.9992,84.3748,2005-07-29,2005-08-05
310,SO43832,1,2171.2942,3578.27,286.2616,89.4568,2005-07-29,2005-08-05
310,SO43833,1,2171.2942,3578.27,286.2616,89.4568,2005-07-30,2005-08-06
348,SO43834,1,1898.0944,3374.99,269.9992,84.3748,2005-07-30,2005-08-06
348,SO43835,1,1898.0944,3374.99,269.9992,84.3748,2005-07-30,2005-08-06
324,SO43836,1,413.1463,699.0982,55.9279,17.4775,2005-07-30,2005-08-06
350,SO43837,1,1898.0944,3374.99,269.9992,84.3748,2005-07-30,2005-08-06
313,SO43838,1,2171.2942,3578.27,286.2616,89.4568,2005-07-31,2005-08-07
311,SO43839,1,2171.2942,3578.27,286.2616,89.4568,2005-07-31,2005-08-07
326,SO43840,1,413.1463,699.0982,55.9279,17.4775,2005-07-31,2005-08-07
314,SO43841,1,2171.2942,3578.27,286.2616,89.4568,2005-07-31,2005-08-07
312,SO43842,1,2171.2942,3578.27,286.2616,89.4568,2005-07-31,2005-08-07
313,SO43918,1,2171.2942,3578.27,286.2616,89.4568,2005-08-01,2005-08-08
314,SO43919,1,2171.2942,3578.27,286.2616,89.4568,2005-08-01,2005-08-08
313,SO43920,1,2171.2942,3578.27,286.2616,89.4568,2005-08-01,2005-08-08
313,SO43921,1,2171.2942,3578.27,286.2616,89.4568,2005-08-01,2005-08-08
310,SO43922,1,2171.2942,3578.27,286.2616,89.4568,2005-08-01,2005-08-08
312,SO43923,1,2171.2942,3578.27,286.2616,89.4568,2005-08-02,2005-08-09
310,SO43924,1,2171.2942,3578.27,286.2616,89.4568,2005-08-02,2005-08-09
314,SO43925,1,2171.2942,3578.27,286.2616,89.4568,2005-08-02,2005-08-09
351,SO43926,1,1898.0944,3374.99,269.9992,84.3748,2005-08-03,2005-08-10
314,SO43927,1,2171.2942,3578.27,286.2616,89.4568,2005-08-03,2005-08-10
313,SO43928,1,2171.2942,3578.27,286.2616,89.4568,2005-08-03,2005-08-10
322,SO43929,1,413.1463,699.0982,55.9279,17.4775,2005-08-03,2005-08-10
312,SO43930,1,2171.2942,3578.27,286.2616,89.4568,2005-08-04,2005-08-11
313,SO43931,1,2171.2942,3578.27,286.2616,89.4568,2005-08-04,2005-08-11
314,SO43932,1,2171.2942,3578.27,286.2616,89.4568,2005-08-04,2005-08-11
347,SO43933,1,1912.1544,3399.99,271.9992,84.9998,2005-08-04,2005-08-11
346,SO43934,1,1912.1544,3399.99,271.9992,84.9998,2005-08-04,2005-08-11
334,SO43935,1,413.1463,699.0982,55.9279,17.4775,2005-08-05,2005-08-12
311,SO43936,1,2171.2942,3578.27,286.2616,89.4568,2005-08-05,2005-08-12
312,SO43937,1,2171.2942,3578.27,286.2616,89.4568,2005-08-05,2005-08-12
310,SO43938,1,2171.2942,3578.27,286.2616,89.4568,2005-08-05,2005-08-12
312,SO43939,1,2171.2942,3578.27,286.2616,89.4568,2005-08-05,2005-08-12
336,SO43940,1,413.1463,699.0982,55.9279,17.4775,2005-08-05,2005-08-12
314,SO43941,1,2171.2942,3578.27,286.2616,89.4568,2005-08-06,2005-08-13
310,SO43942,1,2171.2942,3578.27,286.2616,89.4568,2005-08-06,2005-08-13
338,SO43943,1,413.1463,699.0982,55.9279,17.4775,2005-08-06,2005-08-13
344,SO43944,1,1912.1544,3399.99,271.9992,84.9998,2005-08-06,2005-08-13
310,SO43945,1,2171.2942,3578.27,286.2616,89.4568,2005-08-06,2005-08-13
313,SO43946,1,2171.2942,3578.27,286.2616,89.4568,2005-08-06,2005-08-13
310,SO43947,1,2171.2942,3578.27,286.2616,89.4568,2005-08-06,2005-08-13
345,SO43948,1,1912.1544,3399.99,271.9992,84.9998,2005-08-06,2005-08-13
310,SO43949,1,2171.2942,3578.27,286.2616,89.4568,2005-08-07,2005-08-14
311,SO43950,1,2171.2942,3578.27,286.2616,89.4568,2005-08-07,2005-08-14
311,SO43951,1,2171.2942,3578.27,286.2616,89.4568,2005-08-07,2005-08-14
312,SO43952,1,2171.2942,3578.27,286.2616,89.4568,2005-08-07,2005-08-14
342,SO43953,1,413.1463,699.0982,55.9279,17.4775,2005-08-08,2005-08-15
311,SO43954,1,2171.2942,3578.27,286.2616,89.4568,2005-08-08,2005-08-15
314,SO43955,1,2171.2942,3578.27,286.2616,89.4568,2005-08-08,2005-08-15
344,SO43956,1,1912.1544,3399.99,271.9992,84.9998,2005-08-08,2005-08-15
313,SO43957,1,2171.2942,3578.27,286.2616,89.4568,2005-08-09,2005-08-16
312,SO43958,1,2171.2942,3578.27,286.2616,89.4568,2005-08-09,2005-08-16
348,SO43959,1,1898.0944,3374.99,269.9992,84.3748,2005-08-09,2005-08-16
349,SO43960,1,1898.0944,3374.99,269.9992,84.3748,2005-08-09,2005-08-16
311,SO43961,1,2171.2942,3578.27,286.2616,89.4568,2005-08-10,2005-08-17
312,SO43962,1,2171.2942,3578.27,286.2616,89.4568,2005-08-10,2005-08-17
314,SO43963,1,2171.2942,3578.27,286.2616,89.4568,2005-08-10,2005-08-17
312,SO43964,1,2171.2942,3578.27,286.2616,89.4568,2005-08-10,2005-08-17
351,SO43965,1,1898.0944,3374.99,269.9992,84.3748,2005-08-10,2005-08-17
347,SO43966,1,1912.1544,3399.99,271.9992,84.9998,2005-08-10,2005-08-17
313,SO43967,1,2171.2942,3578.27,286.2616,89.4568,2005-08-11,2005-08-18
313,SO43968,1,2171.2942,3578.27,286.2616,89.4568,2005-08-11,2005-08-18
310,SO43969,1,2171.2942,3578.27,286.2616,89.4568,2005-08-11,2005-08-18
311,SO43970,1,2171.2942,3578.27,286.2616,89.4568,2005-08-11,2005-08-18
314,SO43971,1,2171.2942,3578.27,286.2616,89.4568,2005-08-11,2005-08-18
314,SO43972,1,2171.2942,3578.27,286.2616,89.4568,2005-08-12,2005-08-19
312,SO43973,1,2171.2942,3578.27,286.2616,89.4568,2005-08-12,2005-08-19
312,SO43974,1,2171.2942,3578.27,286.2616,89.4568,2005-08-12,2005-08-19
312,SO43975,1,2171.2942,3578.27,286.2616,89.4568,2005-08-12,2005-08-19
310,SO43976,1,2171.2942,3578.27,286.2616,89.4568,2005-08-12,2005-08-19
312,SO43977,1,2171.2942,3578.27,286.2616,89.4568,2005-08-12,2005-08-19
310,SO43978,1,2171.2942,3578.27,286.2616,89.4568,2005-08-13,2005-08-20
322,SO43979,1,413.1463,699.0982,55.9279,17.4775,2005-08-13,2005-08-20
351,SO43980,1,1898.0944,3374.99,269.9992,84.3748,2005-08-13,2005-08-20
314,SO43981,1,2171.2942,3578.27,286.2616,89.4568,2005-08-13,2005-08-20
342,SO43982,1,413.1463,699.0982,55.9279,17.4775,2005-08-13,2005-08-20
314,SO43983,1,2171.2942,3578.27,286.2616,89.4568,2005-08-14,2005-08-21
311,SO43984,1,2171.2942,3578.27,286.2616,89.4568,2005-08-14,2005-08-21
313,SO43985,1,2171.2942,3578.27,286.2616,89.4568,2005-08-14,2005-08-21
310,SO43986,1,2171.2942,3578.27,286.2616,89.4568,2005-08-14,2005-08-21
310,SO43987,1,2171.2942,3578.27,286.2616,89.4568,2005-08-15,2005-08-22
344,SO43988,1,1912.1544,3399.99,271.9992,84.9998,2005-08-15,2005-08-22
