交易日期,作物名稱,市場名稱,平均價,交易量
114.10.14,椰子,台北一,29.2,636
114.10.14,椰子-剝殼進口,台北一,34.9,3288
114.10.14,釋迦,台北一,92.8,1054
114.10.14,草莓,台北一,223.1,13
114.10.14,草莓-進口,台北一,222.2,21
114.10.14,藍莓-進口,台北一,129.6,267
114.10.14,百香果-其他,台北一,68.4,486
114.10.14,百香果-改良種,台北一,92.2,7421
114.10.14,小番茄-聖女,台北一,94.5,6800
114.10.14,小番茄-玉女,台北一,291.9,348
114.10.14,紅龍果-白肉,台北一,32,8754
114.10.14,紅龍果-紅肉,台北一,34.6,26910
114.10.14,紅龍果-雙色紅龍果,台北一,60.6,2278
114.10.14,紅毛丹,台北一,159.8,53
114.10.14,樹葡萄,台北一,18,10
114.10.14,其他,台北一,101,364
114.10.14,其他-進口,台北一,121.1,601
114.10.14,香蕉-其他,台北一,10.3,406
114.10.14,香蕉,台北一,18.6,25035
114.10.14,香蕉-芭蕉紅芭蕉,台北一,42.8,1647
114.10.14,香蕉-旦蕉,台北一,78,15
114.10.14,香蕉-越旦,台北一,24,610
114.10.14,鳳梨-金鑽鳳梨,台北一,50.9,7087
114.10.14,鳳梨-西瓜鳳梨,台北一,22.3,765
114.10.14,椪柑,台北一,56.8,1974
