交易日期,作物名稱,市場名稱,平均價,交易量
114.10.14,椰子,台北二,22.6,1032
114.10.14,椰子-剝殼進口,台北二,28.5,1550
114.10.14,釋迦,台北二,72.2,919
114.10.14,藍莓-進口,台北二,107.3,2320
114.10.14,百香果-其他,台北二,68.8,248
114.10.14,百香果-改良種,台北二,88.6,4805
114.10.14,小番茄-其他,台北二,295,24
114.10.14,小番茄-聖女,台北二,135.3,911
114.10.14,小番茄-玉女,台北二,349.5,234
114.10.14,紅龍果-白肉,台北二,24,5651
114.10.14,紅龍果-紅肉,台北二,32.7,18833
114.10.14,紅龍果-雙色紅龍果,台北二,69.2,1145
114.10.14,榴槤-進口,台北二,113.3,400
114.10.14,紅毛丹,台北二,120,32
114.10.14,樹葡萄,台北二,50,20
114.10.14,其他,台北二,228.8,158
114.10.14,其他-進口,台北二,183.4,20
114.10.14,香蕉-其他,台北二,13,39
114.10.14,香蕉,台北二,19,17755
114.10.14,香蕉-芭蕉紅芭蕉,台北二,48.6,2023
114.10.14,香蕉-旦蕉,台北二,50,34
114.10.14,香蕉-越旦,台北二,36.6,163
114.10.14,鳳梨-金鑽鳳梨,台北二,49.4,2491
114.10.14,鳳梨-牛奶鳳梨,台北二,32.1,288
114.10.14,鳳梨-西瓜鳳梨,台北二,18,277
