交易日期,作物名稱,市場名稱,平均價,交易量
114.10.14,康乃馨-多朵(混色),台北市場,21,60
114.10.14,火鶴花,台北市場,16.2,630
114.10.14,火鶴花-混色,台北市場,5,28
114.10.14,火鶴花-丘比特,台北市場,9.4,1765
114.10.14,火鶴花-千里達,台北市場,10,251
114.10.14,火鶴花-月光,台北市場,7.1,450
114.10.14,火鶴花-紅鈴,台北市場,8,2434
114.10.14,火鶴花-紅星,台北市場,16.8,195
114.10.14,火鶴花-夏粉,台北市場,8.1,211
114.10.14,火鶴花-粉綠邊,台北市場,22.1,400
114.10.14,火鶴花-夢幻,台北市場,10,513
114.10.14,火鶴花-羅莎,台北市場,13.2,2065
114.10.14,火鶴花-太極,台北市場,7.8,620
114.10.14,火鶴花-小紅莓,台北市場,13.6,235
114.10.14,火鶴花-粉蕾絲,台北市場,9.9,255
114.10.14,火鶴花-翠綠,台北市場,17.2,605
114.10.14,火鶴花-綠紅心,台北市場,10,85
114.10.14,火鶴花-白青心,台北市場,10.3,1574
114.10.14,火鶴花-月亮女神,台北市場,15.6,355
114.10.14,火鶴花-紫色,台北市場,17.1,230
114.10.14,火鶴花-咖啡紅,台北市場,16.7,115
114.10.14,火鶴花-大地,台北市場,16.8,1213
114.10.14,大菊-黃精競,台北市場,140,28
114.10.14,大菊-白天星,台北市場,184.9,754
114.10.14,染大菊-白天星,台北市場,213.8,40
114.10.14,小菊-卡洛琳,台北市場,48,65
114.10.14,小菊-金,台北市場,78,110
