交易日期,作物名稱,市場名稱,平均價,交易量
114.10.14,椰子,板橋區,16,303
114.10.14,椰子-剝殼進口,板橋區,51.9,2347
114.10.14,釋迦,板橋區,60,32
114.10.14,百香果-其他,板橋區,35,50
114.10.14,百香果-改良種,板橋區,78.1,978
114.10.14,甘蔗-帶皮,板橋區,8.9,2208
114.10.14,小番茄-聖女,板橋區,90,105
114.10.14,小番茄-玉女,板橋區,150,6
114.10.14,紅龍果-白肉,板橋區,25.6,4661
114.10.14,紅龍果-紅肉,板橋區,27.8,3795
114.10.14,其他,板橋區,40,50
114.10.14,其他-進口,板橋區,78.2,298
114.10.14,香蕉-其他,板橋區,10.9,239
114.10.14,香蕉,板橋區,18.5,8184
114.10.14,香蕉-芭蕉紅芭蕉,板橋區,34.3,97
114.10.14,香蕉-越旦,板橋區,22.3,317
114.10.14,鳳梨-西瓜鳳梨,板橋區,22,1350
114.10.14,椪柑,板橋區,47.2,1104
114.10.14,佛利蒙柑,板橋區,43.4,219
114.10.14,柑橘-進口,板橋區,50,860
114.10.14,甜橙-柳橙,板橋區,22.5,856
114.10.14,甜橙-進口,板橋區,66.7,180
114.10.14,雜柑-檸檬,板橋區,45.9,98
114.10.14,雜柑-桔子,板橋區,70,18
114.10.14,雜柑-黃金檸檬,板橋區,65,316
114.10.14,黃秋葵,板橋區,29,1814
114.10.14,花椰菜-青梗,板橋區,36.6,3742
114.10.14,胡瓜-黑刺,板橋區,16.4,3279
